# Analysing data contained in file(s) ['simfile_0.dat', 'simfile_1.dat', 'simfile_2.dat', 'simfile_3.dat', 'simfile_4.dat', 'simfile_5.dat', 'simfile_6.dat', 'simfile_7.dat', 'simfile_8.dat']
#Overlap matrix
0.7899 0.1989 0.0109 0.0002 0.0000 0.0000 0.0000 0.0000 0.0000
0.1989 0.5527 0.2291 0.0189 0.0004 0.0000 0.0000 0.0000 0.0000
0.0109 0.2291 0.5243 0.2163 0.0191 0.0003 0.0000 0.0000 0.0000
0.0002 0.0189 0.2163 0.5193 0.2266 0.0182 0.0004 0.0000 0.0000
0.0000 0.0004 0.0191 0.2266 0.5068 0.2245 0.0222 0.0004 0.0000
0.0000 0.0000 0.0003 0.0182 0.2245 0.4878 0.2504 0.0186 0.0002
0.0000 0.0000 0.0000 0.0004 0.0222 0.2504 0.5196 0.1910 0.0164
0.0000 0.0000 0.0000 0.0000 0.0004 0.0186 0.1910 0.5461 0.2439
0.0000 0.0000 0.0000 0.0000 0.0000 0.0002 0.0164 0.2439 0.7395
#DG from neighbouring lambda in kcal/mol
0.0000 0.1250 -0.0281 0.1423
0.1250 0.2500 0.4342 0.1173
0.2500 0.3750 0.7380 0.1198
0.3750 0.5000 0.7350 0.1152
0.5000 0.6250 0.6757 0.1148
0.6250 0.7500 0.7427 0.1035
0.7500 0.8750 0.7213 0.1340
0.8750 1.0000 0.6766 0.1165
#PMF from MBAR in kcal/mol
0.0000 0.0000 0.0000
0.1250 -0.0281 0.1423
0.2500 0.4061 0.2136
0.3750 1.1441 0.2653
0.5000 1.8791 0.3069
0.6250 2.5548 0.3438
0.7500 3.2975 0.3733
0.8750 4.0187 0.4097
1.0000 4.6954 0.4383
#TI average gradients and standard deviation in kcal/mol
0.0000 -2.0905 8.4816
0.1250 0.8775 8.2827
0.2500 4.8826 9.7129
0.3750 6.3792 8.0487
0.5000 5.7825 8.0343
0.6250 4.7685 8.1956
0.7500 6.5884 8.3121
0.8750 5.1527 8.5299
1.0000 8.3422 8.8138
#PMF from TI in kcal/mol
0.0000 0.0000
0.1250 -0.0758
0.2500 0.2842
0.3750 0.9881
0.5000 1.7482
0.6250 2.4076
0.7500 3.1174
0.8750 3.8512
1.0000 4.6947
#MBAR free energy difference in kcal/mol: 
4.695369, 0.438323  #WARNING SUBSAMPLING DISABLED, CONSIDER RERUN WITH SUBSAMPLING OPTION
#TI free energy difference in kcal/mol: 
4.694656  #WARNING SUBSAMPLING DISABLED, CONSIDER RERUN WITH SUBSAMPLING OPTION 
